,name,formatted_address,place_id,url,lat,lng
1,Link Of Hampton Roads - Food Distribution Center,"10413 Warwick Blvd, Newport News, VA 23601, USA",ChIJ7Xc_wgN4sIkRJHlvXXa6d4E,https://maps.google.com/?cid=9329130170657765668,37.0336314,-76.4630834
2,Saint Olaf's Food Pantry - Food Distribution Center,"104 Norge Ln, Williamsburg, VA 23188, USA",ChIJO5YuiaWNsIkRaDjLPz2q6eQ,https://maps.google.com/?cid=16494902290261162088,37.3705696,-76.7720925
3,Five Loaves Food Pantry,"Not Ark Refuge Center, 13813 Warwick Blvd Bldg. E, Newport News, VA 23602, USA",ChIJtZbPO6l-sIkR3JYQP-3K1ZU,https://maps.google.com/?cid=10796758802004743900,37.1254301,-76.5338104
4,HELP Food Pantry,"1320 La Salle Ave, Hampton, VA 23669, USA",ChIJVVVVpqeEuokR_3ISZ7qWMhs,https://maps.google.com/?cid=1959794515196932863,37.03101,-76.3617161
5,Foodbank of the VA Peninsula - Food Distribution Center,"2401 Aluminum Ave, Hampton, VA 23661, USA",ChIJa8ZEUFWduokRxfStxo3-qHU,https://maps.google.com/?cid=8478306183402091717,37.005627,-76.4040595
6,York County Church Women Food,"300 Ella Taylor Rd, Yorktown, VA 23692, USA",ChIJg9r33tiBuokRDZiLuElmtL0,https://maps.google.com/?cid=13669663235791099917,37.1405167,-76.453979
8,Campus Kitchen At William & Mary - Food Distribution Center,"Blow Memorial Hall, James Blair Dr, Williamsburg, VA 23185, USA",ChIJ89gtyAqJsIkRZTrC6tAtLSQ,https://maps.google.com/?cid=2606790134632430181,37.27,-76.7099999
9,Virginia Peninsula Foodbank,"2401 Aluminum Ave, Hampton, VA 23661, USA",ChIJW7NEUFWduokRsDIgGcyJIJc,https://maps.google.com/?cid=10889855408669733552,37.005542,-76.4039134
11,"Emmanuel House, Inc. - Food Distribution Center","519 North Ave, Newport News, VA 23601, USA",ChIJYcr3lFSduokRMwWy74sF3rg,https://maps.google.com/?cid=13321090846388520243,37.027067,-76.4518387
14,By His Hands/ Empowered Believers - Food Distribution Center,"2096 Nickerson Blvd, Hampton, VA 23663, USA",ChIJWVAdMAeFuokRecajAOxjp0I,https://maps.google.com/?cid=4802917392888088185,37.0515248,-76.3095064
16,Bethel - Food Distribution Center,"1705 Todds Ln, Hampton, VA 23666, USA",ChIJ-ZkrlyCDuokRVloScDtcEys,https://maps.google.com/?cid=3103925978541480534,37.040352,-76.4093058
17,THRIVE Peninsula,"13195 Warwick Blvd STE 2C, Newport News, VA 23602, USA",ChIJw_FD3TB5sIkRoRCYSdIFjCw,https://maps.google.com/?cid=3209947035144294561,37.1123577,-76.5188705
19,A Gift From Ben,"309 Waltz Farm Dr, Williamsburg, VA 23185, USA",ChIJYbmcC16LsIkRaFOnGc7meqY,https://maps.google.com/?cid=11996154330322785128,37.3058183,-76.7360123
21,WOW-2 Worship Center/ Food Bank,"525 Industrial Park Dr, Newport News, VA 23608, USA",ChIJHXkWVtV9sIkRtKz8snUFPuo,https://maps.google.com/?cid=16878934456503413940,37.1664626,-76.5488901
24,Peninsula Dream Center,"28 Harpersville Rd, Newport News, VA 23601, USA",ChIJyQJknhR4sIkR7eIfwTe1JYA,https://maps.google.com/?cid=9233985862060991213,37.0505038,-76.4738156
27,Antioch Improvement Ministries,"1553 Old Buckroe Rd, Hampton, VA 23664, USA",ChIJCYv_LA6FuokRyCxa2awDPM4,https://maps.google.com/?cid=14860756911331617992,37.0429556,-76.3031368
28,FISH Inc.,"312 2nd St, Williamsburg, VA 23185, USA",ChIJ44IQsUGJsIkRmAqHhyCGxKA,https://maps.google.com/?cid=11584531615774608024,37.2740137,-76.6832772
29,Ocean View Presbyterian Church Fishes And Loaves - Food Distribution Center,"9200 Tidewater Dr, Norfolk, VA 23503, USA",ChIJXeyBuZeQuokRqqFrARX8owk,https://maps.google.com/?cid=694675934693532074,36.9441947,-76.2574641
30,Williamsburg House of Mercy,"10 Harrison Ave, Williamsburg, VA 23185, USA",ChIJNVyz8HOJsIkRjKbhLdxfPq8,https://maps.google.com/?cid=12627635804460656268,37.2747573,-76.7151556
31,Episcopal Church Of The Advent - Food Pantry,"9629 Norfolk Ave, Norfolk, VA 23503, USA",ChIJAQAQK-2QuokRdpFV1GUHh4U,https://maps.google.com/?cid=9621667262835822966,36.9495041,-76.2477762
32,Bread For Life Food,"6262 Main St, Gloucester, VA 23061, USA",ChIJdWBgHIicsIkRSjS3982XR2Y,https://maps.google.com/?cid=7370026226095174730,37.4162031,-76.5380702
33,Hands Across Mathews,"10878 Buckley Hall Rd, Mathews, VA 23109, USA",ChIJ5T6GFdRzuokRAcB2tg_wOo0,https://maps.google.com/?cid=10176710258273468417,37.4364807,-76.3216842
34,united states poverty project,"751 Thimble Shoals Blvd Suite D-2, Newport News, VA 23606, USA",ChIJIeWUYK55sIkRyj3lunFT7Xk,https://maps.google.com/?cid=8785770196001701322,37.0804413,-76.4643872
35,Calvin Church Youth - Food Distribution Center,"2901 E Little Creek Rd, Norfolk, VA 23518, USA",ChIJK_DlxDSRuokRIwoZZcJWIaQ,https://maps.google.com/?cid=11826829489371417123,36.9161581,-76.2053023
37,Rock Church Food Pantry - Food Distribution Center,"640 Kempsville Rd, Virginia Beach, VA 23464, USA",ChIJH9UP_hu-uokR5DsqsyMN5IQ,https://maps.google.com/?cid=9575793154677423076,36.8200567,-76.1610484
38,Village Family Food Pantry,"813 Henry St, Norfolk, VA 23504, USA",ChIJdRHDuIeXuokRPjc0GCh0QdQ,https://maps.google.com/?cid=15294633525080504126,36.8566475,-76.277572
39,The Storehouse,"3921 Pleasant Ave, Norfolk, VA 23518, USA",ChIJia-JFkSRuokRpSZ63FNMYDY,https://maps.google.com/?cid=3918215598877320869,36.9287143,-76.1947326
40,Grove Christian Outreach Center,"8800 Pocahontas Trail, Williamsburg, VA 23185, USA",ChIJnwVFoGZ9sIkR5uj4v1shbHw,https://maps.google.com/?cid=8965577636134316262,37.2144272,-76.6187775
41,Salvation Army Virginia Peninsula,"1033 Big Bethel Rd, Hampton, VA 23666, USA",ChIJ7ZS2--qCuokRtx3wBTaxWwk,https://maps.google.com/?cid=674327414807993783,37.0494266,-76.4300677
42,Food Service Ministry of Open Door Church - Food Distribution Center,"816 Kings Fork Rd, Suffolk, VA 23434, USA",ChIJ8Sivz3EOsIkRSYJu2dLe8z8,https://maps.google.com/?cid=4608271840902545993,36.7834596,-76.610062
43,The Garden Food Pantry,"2709 Greendale Ave, Norfolk, VA 23518, USA",ChIJKV12uMyWuokR0WGfm33-a4E,https://maps.google.com/?cid=9325827268836024785,36.9149447,-76.2088013
46,Federation of Virginia Food Banks,"800 Tidewater Dr, Norfolk, VA 23504, USA",ChIJJceY-ByYuokRrphahLLbSlo,https://maps.google.com/?cid=6506254171461294254,36.852157,-76.2744442
48,Saint Timothy Food Pantry,"1051 Kempsville Rd, Norfolk, VA 23502, USA",ChIJVVUlRmmWuokRefMVHqqRFuI,https://maps.google.com/?cid=16291368861894570873,36.857325,-76.1965315
49,The Salvation Army,"216 Ironbound Rd, Williamsburg, VA 23188, USA",ChIJQ4D-jbKNsIkR5qtWSpW6OAE,https://maps.google.com/?cid=88025343093812198,37.2889416,-76.7282764
52,Eastern Shore Chapel- Chapel Food Pantry,"2020 Laskin Rd, Virginia Beach, VA 23454, USA",ChIJWxr2PlbquokRXp8fW_7T1jc,https://maps.google.com/?cid=4023636406506069854,36.8469877,-76.0392495
53,Foodbank of Southeastern Virginia and the Eastern Shore,"800 Tidewater Dr, Norfolk, VA 23504, USA",ChIJCerKXhyYuokR9LlbhnerQQE,https://maps.google.com/?cid=90541997367736820,36.8524013,-76.2748417
56,Church Of Saint Gregory The Great - Food Pantry,"247 Clearfield Ave, Virginia Beach, VA 23462, USA",ChIJq6rOFOiVuokRRJIKRJ615Fs,https://maps.google.com/?cid=6621617043492475460,36.8459856,-76.1655747
63,Franklin Cooperative Ministry,"301 W 1st Ave, Franklin, VA 23851, USA",ChIJyf5tBQwksIkRucv53QkQdf8,https://maps.google.com/?cid=18407636686511655865,36.6757051,-76.9245551
65,Community Harvest Outreach Inc.,"5 Roberts Ave, Windsor, VA 23487, USA",ChIJheOnsaoWsIkRlI2Yqt3Wx-c,https://maps.google.com/?cid=16701553990665014676,36.8064542,-76.734058
68,Mount Carmel Food Bank - Food Distribution Center,"27650 Walters Hwy, Zuni, VA 23898, USA",ChIJtch_5HU9sIkRQ1Rq7dSn7Gk,https://maps.google.com/?cid=7632660001444222019,36.7765804,-76.8435115
72,Franklin-Southampton Area United Way,"116 N Main St, Franklin, VA 23851, USA",ChIJZ-zACgsksIkRi6HE7cZjpC0,https://maps.google.com/?cid=3288863333931065739,36.677769,-76.922467
74,Isle of Wight Christian Outreach Program,"402 Grace St, Smithfield, VA 23430, USA",ChIJXSbQHBFzsIkRtLwOFZZK3MA,https://maps.google.com/?cid=13897064558617345204,36.9800009,-76.6380028
79,Capernaum SDA Church,"314 York St, Suffolk, VA 23434, USA",ChIJoc73ynMPsIkRpc2BdLeKL5U,https://maps.google.com/?cid=10749963356094975397,36.7229731,-76.5866102
80,"The Salvation Army Corps & Community Center of Suffolk ,Virginia","400 Bank St, Suffolk, VA 23434, USA",ChIJwwl9aQ0PsIkR9Vk-ALaPOlg,https://maps.google.com/?cid=6357551835837782517,36.728338,-76.577291
84,Agape Food Pantry,"201 Stadium Dr, Chesapeake, VA 23322, USA",ChIJ90a8FX-7uokRIVci45W0mb4,https://maps.google.com/?cid=13734207094496843553,36.7055014,-76.2350998
87,Oasis Social Ministry,"800 Williamsburg Ave b, Portsmouth, VA 23704, USA",ChIJEdDDIGOiuokRLjH0LzbcgaE,https://maps.google.com/?cid=11637825037392949550,36.8323616,-76.3202419
91,Basilica Of Saint Mary's-Food Pantry,"232 Chapel St, Norfolk, VA 23504, USA",ChIJVVWFiAWYuokR_k8gcEctw6w,https://maps.google.com/?cid=12448843579829276670,36.8471276,-76.2824413
96,Storehouse Food Pantry,"2708 Princess Anne Rd, Virginia Beach, VA 23456, USA",ChIJ__8_ZpLAuokR_H1oOTHISwQ,https://maps.google.com/?cid=309561113147112956,36.7604516,-76.065933
97,Water's Edge Community Church Of God - Food Pantry,"4141 Holland Rd, Virginia Beach, VA 23452, USA",ChIJq6qqt9m_uokR_RhtkNjCqMw,https://maps.google.com/?cid=14747251215216482557,36.8174702,-76.1187454
99,Cupboards For Christ Food Pantry,"640 S Battlefield Blvd, Chesapeake, VA 23322, USA",ChIJ____qPy6uokRRSvKOyIptOc,https://maps.google.com/?cid=16696014945578003269,36.7024492,-76.2357749
100,Grace Lutheran Church Food Pantry,"521 Providence Rd, Chesapeake, VA 23325, USA",ChIJq6q6KBq9uokR9YcOIpNxJ0A,https://maps.google.com/?cid=4622788419264612341,36.8014322,-76.2418083
101,Trinity Tabernacle--Food Pantry,"5363 Old Providence Rd, Virginia Beach, VA 23464, USA",ChIJ___P-Ai-uokRrUYYRpvvF-U,https://maps.google.com/?cid=16507926409324807853,36.814481,-76.1753399
102,Buffalow Family and Friends Community Days,"2307 Bainbridge Blvd, Chesapeake, VA 23324, USA",ChIJ82_haW6juokRebNpJlHoM6I,https://maps.google.com/?cid=11687940893191025529,36.8011253,-76.274794
103,Share - Mid Atlantic - Food Distribution Center,"Norfolk, VA 23501, USA",ChIJVVVV4RqYuokRrFqAXtg6Bg0,https://maps.google.com/?cid=938502273326144172,36.8518449,-76.2801114
104,Grace & Hope Mission,"2804 Lafayette Blvd, Norfolk, VA 23509, USA",ChIJ47ETSZyXuokRy3nMkazRA50,https://maps.google.com/?cid=11314117227995494859,36.8758448,-76.2554738
105,The Mount,"620 Baker Rd, Virginia Beach, VA 23462, USA",ChIJnavTQC6VuokRUNKPRPRXwI4,https://maps.google.com/?cid=10286318255548125776,36.8609916,-76.1758833
106,House of Blessing,"525 Kempsville Rd, Chesapeake, VA 23320, USA",ChIJbf2qlIG7uokRxcZMQXFkWR4,https://maps.google.com/?cid=2186889531654719173,36.7450959,-76.222746
107,Wesley Community Service Center,"1701 Elm Ave, Portsmouth, VA 23704, USA",ChIJQ7B4ev-juokRhACPOdY5fEA,https://maps.google.com/?cid=4646652507790966916,36.8255843,-76.312074
108,God Is Able Ministry,"2033 N Battlefield Blvd, Chesapeake, VA 23324, USA",ChIJgxEBWde8uokRaWIen5FWvMY,https://maps.google.com/?cid=14320416098571149929,36.7904309,-76.2596209
